PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,Latitude,Longitude,Count Date,8HrVehVol,8HrPedVol
1745,QUEEN ST W,,SORAUREN AVE,,01-Oct-1996,43.63976,-79.44095,6/9/2015,7495,1527
1746,KING ST E,,SUMACH ST,,24-Oct-1996,43.65561,-79.3584,8/17/2015,6068,1153
1764,STEELES AVE W,,GERRY FITZGERALD DR,FUTURITY GATE,28-Jul-2004,43.78621,-79.47471,5/13/2015,24942,646
1765,ROYAL YORK RD,,EDENBRIDGE DR,,30-Oct-1997,43.67012,-79.52136,6/4/2015,12434,86
1793,STEELES AVE W,,HIGHWAY 27,,30-Jun-1998,43.75549,-79.61409,5/15/2015,33940,70
1794,MCCOWAN RD,,KENHATCH BLVD,,16-Jul-1998,43.80145,-79.26377,4/30/2015,14927,177
1808,BATHURST ST,,ROBINSON ST,CARR ST,29-Oct-1998,43.64893,-79.40465,4/2/2015,9841,2137
1811,LAKE SHORE BLVD E,,NORTHERN DANCER BLVD,PRIVATE ACCESS,18-Aug-1998,43.6634,-79.30969,5/20/2015,13170,390
1818,ROYAL YORK RD,,NEWCASTLE ST,,07-Aug-1999,43.61751,-79.49893,1/6/2015,8244,505
1850,DANFORTH AVE,,THYRA AVE,PRIVATE ACCESS,14-Jun-2000,43.69081,-79.29025,5/7/2015,12898,3440
1851,KING ST W,,SUDBURY ST,PRIVATE ACCESS,02-Jul-2000,43.64101,-79.41727,8/24/2015,10301,1835
1852,DUNDAS ST W,275m EAST OF,ROYAL YORK RD,PRIVATE ACCESS,20-Jan-2000,43.65946035,-79.5135782,4/18/2015,16092,318
1855,KIPLING AVE,,LONGFIELD RD,THE KINGSWAY,07-Jun-2000,43.6736,-79.5493,9/15/2015,11307,313
1878,DUNDAS ST W,,MANNING AVE,,14-Nov-2000,43.65135,-79.41091,4/8/2015,8875,2028
1879,THE QUEENSWAY,,GLENDALE AVE,,31-Aug-2001,43.63932,-79.45129,3/4/2015,13888,555
1883,BATHURST ST,,ADELAIDE ST W,,09-Nov-2001,43.64521,-79.40321,8/18/2015,12296,1573
1889,DANFORTH AVE,200m EAST OF,MAIN ST,PRIVATE ACCESS,02-Jun-2001,43.68867846,-79.2995283,5/7/2015,12920,3473
1905,DUNDAS ST E,,VICTORIA ST,,19-Sep-2002,43.6563,-79.37955,4/13/2015,8889,10912
1915,STEELES AVE W,185m WEST OF,HIDDEN TRL,PRIVATE ACCESS,17-Jun-2003,43.78824,-79.46537,5/13/2015,24345,392
1919,BATHURST ST,,FORT YORK BLVD,,13-Aug-2002,43.63887,-79.40062,4/12/2015,11653,5808
1941,COMSTOCK RD,,LEBOVIC AVE,,19-Oct-2005,43.72071,-79.28872,6/15/2015,6961,101
1951,LAKE SHORE BLVD E,224m WEST OF,WOODBINE AVE,,23-Dec-2002,43.66439,-79.30624,5/20/2015,11567,270
1969,QUEEN ST W,,PALMERSTON AVE,TECUMSETH ST,30-Oct-2003,43.64672,-79.40654,9/2/2015,10538,6170
1980,STEELES AVE W,,SIGNAL HILL AVE,PRIVATE ACCESS,08-Oct-2003,43.75306,-79.62511,5/15/2015,16258,305
1984,KING ST W,,SPENCER AVE,,06-Jun-2003,43.63823,-79.4309,10/7/2015,9259,2198
1987,DUNDAS ST E,,ONTARIO ST,,09-Nov-2004,43.65889,-79.36857,4/13/2015,6416,2459
2006,MCCOWAN RD,180m NORTH OF,LAWRENCE AVE E,PRIVATE ACCESS,19-Jul-2005,43.75697,-79.24562,5/4/2015,15900,156
2021,MCCOWAN RD,120m NORTH OF,ELLESMERE RD,PRIVATE ACCESS,10-Dec-2004,43.77327757,-79.25175145,4/29/2015,20670,712
2033,STEELES AVE E,,REDLEA AVE,PRIVATE ACCESS,25-Aug-2005,43.82412927,-79.30504024,5/30/2015,18557,1232
2038,STEELES AVE W,200m EAST OF,ALNESS ST,PRIVATE ACCESS,16-Mar-2005,43.78535,-79.47835,5/13/2015,22949,278
2040,GARDINER E PARK LAWN RD RAMP,,LEGION RD N,,22-Dec-2006,43.62518,-79.48925,1/20/2015,7957,0
2049,PASSMORE AVE,,SILVER STAR BLVD,,25-Apr-2006,43.81999,-79.2981,5/23/2015,8111,91
2056,QUEEN ST E,,ELMER AVE,,18-Aug-2005,43.6693,-79.3035,6/8/2015,9545,1951
2069,ASHTONBEE RD,,HAKIMI AVE,PRIVATE ACCESS,26-Oct-2010,43.73,-79.29195,6/15/2015,7898,472
2097,DUPONT ST,,EDWIN AVE,,11-Apr-2007,43.66491,-79.45549,4/22/2015,9816,856
2119,KIPLING AVE,,PENLEA AVE,,26-Sep-2007,43.74102,-79.58096,5/15/2015,12364,538
2120,KIPLING AVE,,HENLEY CRES,,02-Aug-2007,43.73054,-79.57583,5/15/2015,11881,363
2123,ROYAL YORK RD,16m SOUTH OF,GOVERNMENT RD,,14-Jun-2007,43.65757027,-79.51596513,6/4/2015,12271,141
2133,BATHURST ST,,CARIBOU RD,DELL PARK AVE,04-Oct-2007,43.71757485,-79.42961143,3/31/2015,20431,1592
2137,KIPLING AVE,,HINTON RD,PRIVATE ACCESS,05-Dec-2007,43.72572,-79.5734,5/15/2015,11809,438
2139,KIPLING AVE,,SNARESBROOK DR,PRIVATE ACCESS,06-Dec-2007,43.72172,-79.57148,5/15/2015,12809,640
2163,BAMBURGH CRCL,,WINTERMUTE BLVD,,20-May-2010,43.816115,-79.322537,6/1/2015,3793,667
2179,MORTIMER AVE,,WOODMOUNT AVE,,18-Sep-2008,43.69198,-79.31817,6/22/2015,5772,191
2189,ROYAL YORK RD,,ALLANHURST DR,,19-Aug-2008,43.67931,-79.52527,6/4/2015,11434,155
2200,PHARMACY AVE,20m SOUTH OF,ALBION AVE,,17-Sep-2009,43.69564,-79.28478,6/8/2015,4328,659
2201,SANDHURST CRCL,235m NORTH OF,FINCH AVE E,,23-Jan-2009,43.80922508,-79.27140043,6/2/2015,2481,1772
2253,BATHURST ST,,NASSAU ST,PRIVATE ACCESS,25-Jan-2011,43.654296,-79.406841,4/2/2015,10334,2241
2258,WARDEN AVE,,LUPIN DR,,20-Nov-2010,43.7655756,-79.3022333,5/5/2015,26701,93
2275,BATHURST ST,70m SOUTH OF,KENTON DR,PRIVATE ACCESS,16-Dec-2011,43.77748,-79.44395,3/23/2015,21210,81
2311,GUNNS RD,150m NORTH OF,ST CLAIR AVE W,PRIVATE ACCESS,07-Feb-2014,43.673046,-79.472209,4/22/2015,4240,176
2312,STEELES AVE W,,ALBION RD,REGIONAL RD 50,01-Aug-2012,43.74985,-79.63929,5/15/2015,29577,19
2316,FRONT ST W,,PORTLAND ST,,20-Mar-2012,43.64145,-79.39882,6/15/2015,5875,1283
2332,STEELES AVE W,,GIHON SPRING DR,PRIVATE ACCESS,25-Feb-2013,43.759258,-79.597022,5/15/2015,18164,101
